pipeline,query,rank,doc_id,similarity,is_relevant,P@5,R@5,RR,document_preview
A,natural language processing,1,8705,0.33647560340900484,0,0.0,0.0,0.14285714285714285,"These regulations may be called the Food Safety and Standards (Food Products Standards and Food Additives) Amendment Regulations, 2019. They shall come into force on the date of their publication in t"
A,natural language processing,2,4075,0.3156850121702175,0,0.0,0.0,0.14285714285714285,"Looking for Spanish language instructor to improve my reading, writing and speaking skills. We require the tutor to travel to our location at Gwal Pahari. A certification or degree in Spanish Language"
A,natural language processing,3,25428,0.301039860471425,0,0.0,0.0,0.14285714285714285,"Note: If you're on an iPhone, you cannot change the language of Facebook through the mobile app. Instead, Facebook uses whatever language your phone is set up to use, so to change it you have to pick "
A,natural language processing,4,701,0.29009533517061414,0,0.0,0.0,0.14285714285714285,"Program in Teaching French as a Foreign Language was established in 1985 under the Department of Foreign Education. 2 full professors,3 assistant professors and 3 research assistant are currently work"
A,natural language processing,5,24482,0.26187348828333085,0,0.0,0.0,0.14285714285714285,"Harald, you are a co-owner of Language Partners. Are you a linguist yourself, and how did you get into this competitive line of business? No, I’m not a linguist; I am a historian and a business man. I"
A,deep learning healthcare,1,9252,0.2846259052121958,0,0.0,0.0,0.017543859649122806,"SAN DIEGO AND WASHINGTON, D.C. – Sept. 5, 2018 – West Health, a family of nonpartisan, nonprofit organizations focused on healthcare research, policy and philanthropy, has appointed Cristina Boccuti, "
A,deep learning healthcare,2,11979,0.28392008991940676,0,0.0,0.0,0.017543859649122806,Doctorate of Healthcare Organization Program is designed for the healthcare professionals who are working in healthcare organizations especially in hospitals or in clinics and who would like to broade
A,deep learning healthcare,3,11119,0.22585394986247892,0,0.0,0.0,0.017543859649122806,The opportunities offered by Big Data will only materialize when healthcare systems move beyond the mere collection of large amounts of data. Linkage of previously separated data sets and their analys
A,deep learning healthcare,4,3370,0.21760324322047533,0,0.0,0.0,0.017543859649122806,"These two healthcare REITs are trading for dirt-cheap valuations despite high dividends and a solid history of growth. Investing in real estate investment trusts, or REITs, is one of the best ways to "
A,deep learning healthcare,5,9229,0.21285932786312503,0,0.0,0.0,0.017543859649122806,"Influence Health, the healthcare industry’s leading consumer experience solution provider, congratulates leading provider organizations for earning prestigious eHealthcare Leadership Awards. These win"
A,medical devices pharmacy,1,12658,0.4525945181518493,1,0.4,1.0,1.0,"This guidance is for pharmacists who handle, use and sell/supply medical devices. What to do with medical device alerts. Why this guidance is important for you? What types of medical devices are sold "
A,medical devices pharmacy,2,1845,0.3801687349973945,0,0.4,1.0,1.0,Whoa!! The Take care Pharmacy Mobile application is available in App stores now. This app brings the pharmacy to your mobile device.
A,medical devices pharmacy,3,1078,0.3745390448165025,0,0.4,1.0,1.0,"Pharmacy job opportunities at Paydens Limited. Pharmacists, dispensing technicians, pharmacist locums, relief pharmacy managers and pharmacy pre-registration placements available throughout the South-"
A,medical devices pharmacy,4,28742,0.35510220889986477,1,0.4,1.0,1.0,"Northern Pharmacy & Medical Equipment has a full-time staff of male and female Orthopedic Fitters to serve you. Our Fitters are certified to fit compression stockings, diabetic shoes, mastectomy prost"
A,medical devices pharmacy,5,1815,0.3324919765139206,0,0.4,1.0,1.0,"U.S. Pharmacist is a monthly journal dedicated to providing the nation's pharmacists with up-to-date, authoritative, peer-reviewed clinical articles relevant to contemporary pharmacy practice in a var"
A,healthcare big data,1,11119,0.5344856666011826,1,0.2,1.0,1.0,The opportunities offered by Big Data will only materialize when healthcare systems move beyond the mere collection of large amounts of data. Linkage of previously separated data sets and their analys
A,healthcare big data,2,4770,0.33637337582930654,0,0.2,1.0,1.0,One of the many changes that the new Regulation will deliver when it comes into force on 25 May 2018 is a new statutory obligation on data security that data processors must observe above and beyond c
A,healthcare big data,3,9252,0.31232764271220453,0,0.2,1.0,1.0,"SAN DIEGO AND WASHINGTON, D.C. – Sept. 5, 2018 – West Health, a family of nonpartisan, nonprofit organizations focused on healthcare research, policy and philanthropy, has appointed Cristina Boccuti, "
A,healthcare big data,4,11979,0.3115531326533866,0,0.2,1.0,1.0,Doctorate of Healthcare Organization Program is designed for the healthcare professionals who are working in healthcare organizations especially in hospitals or in clinics and who would like to broade
A,healthcare big data,5,10659,0.3111908451433565,0,0.2,1.0,1.0,Join data technology experts from Pivotal to get the latest perspective on how big data analytics and applications are transforming organizations across industries. This event provides an opportunity 
A,GraphQL open source foundation,1,1963,0.15968150226704106,0,0.0,0.0,0.024390243902439025,"What does it take to get a start-up going? Well, nothing much; just a great idea, a few devoted professionals and, of course, funds. Helical IT Solutions seems to have them all. A company that started"
A,GraphQL open source foundation,2,10006,0.1479035948180637,0,0.0,0.0,0.024390243902439025,"This KB article provides a better understanding of how other forms of source control integration work. Whether you’re using SVN, Mercurial, Perforce, or most anything else, Source Control Integration "
A,GraphQL open source foundation,3,11930,0.14749411235431523,0,0.0,0.0,0.024390243902439025,The W3C moved beyond its initial Web of Things Interest Group into a Web of Things Working Group. The Working Group will work towards creating official W3C Recommendations for the IoT industry. Buildi
A,GraphQL open source foundation,4,19471,0.14511157541239741,0,0.0,0.0,0.024390243902439025,"Of course the open source scene is changing, but how much of that is the unavoidable transformation that a healthy scene goes through, and how much is fundamental? The Free Software movement as we kno"
A,GraphQL open source foundation,5,25092,0.14119865005170726,0,0.0,0.0,0.024390243902439025,"This is the second half of a two part article. If you would like to read part one please click here. 10. Private foundations cannot conduct political activities. All Canadian registered charities, reg"
B,natural language processing,1,8705,0.37757456904147,0,0.0,0.0,0.16666666666666666,"These regulations may be called the Food Safety and Standards (Food Products Standards and Food Additives) Amendment Regulations, 2019. They shall come into force on the date of their publication in t"
B,natural language processing,2,24482,0.3340291440781062,0,0.0,0.0,0.16666666666666666,"Harald, you are a co-owner of Language Partners. Are you a linguist yourself, and how did you get into this competitive line of business? No, I’m not a linguist; I am a historian and a business man. I"
B,natural language processing,3,25428,0.32474266860840556,0,0.0,0.0,0.16666666666666666,"Note: If you're on an iPhone, you cannot change the language of Facebook through the mobile app. Instead, Facebook uses whatever language your phone is set up to use, so to change it you have to pick "
B,natural language processing,4,701,0.30572836459363706,0,0.0,0.0,0.16666666666666666,"Program in Teaching French as a Foreign Language was established in 1985 under the Department of Foreign Education. 2 full professors,3 assistant professors and 3 research assistant are currently work"
B,natural language processing,5,4075,0.2916766125761209,0,0.0,0.0,0.16666666666666666,"Looking for Spanish language instructor to improve my reading, writing and speaking skills. We require the tutor to travel to our location at Gwal Pahari. A certification or degree in Spanish Language"
B,deep learning healthcare,1,11979,0.30810916619557727,0,0.0,0.0,0.017543859649122806,Doctorate of Healthcare Organization Program is designed for the healthcare professionals who are working in healthcare organizations especially in hospitals or in clinics and who would like to broade
